url_top_domain,n
pl.wikipedia.org,203
www.facebook.com,186
www.wprost.pl,110
adamowicz.pl,84
trojmiasto.wyborcza.pl,67
bialystok.onet.pl,56
twitter.com,56
wiadomosci.gazeta.pl,46
wiadomosci.wp.pl,33
www.trojmiasto.pl,26
www.tvn24.pl,26
www.youtube.com,26
fakty.interia.pl,13
www.fakt.pl,13
www.tokfm.pl,9
dziennikbaltycki.pl,6
wpolityce.pl,6
poranny.pl,5
natemat.pl,4
tysol.pl,4
wiadomosci.radiozet.pl,4
gdansk.naszemiasto.pl,3
wmeritum.pl,3
www.bstok.pl,3
m.sportowefakty.wp.pl,2
www.gdansk.pl,2
nczas.com,1
trojmiasto.onet.pl,1
wiadomosci.onet.pl,1
www.rp.pl,1
